Country_Code,Country_Name,LP_Year,Learning_Poverty,F5_Internet_Usage,F1_GDP_per_capita,F8_Gender_Parity_Index,F7_Completion_Rate,F3_Pupil_Teacher_Ratio,F6_Net_Enrollment,F2_Gov_Edu_Exp,F4_Stunting_Rate,N1_Under5_Mortality,N2_Adolescent_Fertility,N3_Electricity_Access,N4_Physicians_per_1000,N5_Child_Marriage_Female,G1_Gov_Effectiveness,G2_Corruption_Control,G3_Rule_of_Law,G_AVG_Governance,GDP_Quartile,log_GDP,LP_Predicted_by_GDP,Residual,Deviance_Group
GAB,Gabon,2019,30.67756080627441,68.19789886,18701.4227766897,0.967231214046478,95.5723443005305,21.008166,94.834908,2.31594287726056,14.4,33.8,91.707,94.1,0.521,13.3,-0.779809296131134,-1.01552844047546,-0.872693359851837,-0.8893436988194771,"Q2
(저소득)",9.83635488426337,41.647958230780745,-10.970397424506334,Middle
GBR,United Kingdom,2021,3.3939032554626465,95.44719696,52592.6822066393,0.997720003128052,101.071876525879,15.13275,99.49182,5.90681982040405,2.0,4.6,8.359,100.0,3.301,0.0,1.16114270687103,1.48091387748718,1.39836597442627,1.3468075195948266,"Q4
(고소득)",10.87033226750072,16.108797665308487,-12.71489440984584,Middle
GEO,Georgia,2021,13.526374816894531,81.88425624,22590.5293649146,1.00732004642487,106.243340748079,8.98194,96.43624,3.70918011665344,5.8,8.8,21.137,100.0,5.642,13.9,0.791285872459412,0.617694795131683,0.177279338240623,0.5287533352772393,"Q2
(저소득)",10.025286042782644,36.9813733794399,-23.45499856254537,Positive
GIN,Guinea,2019,82.6748275756836,32.31560135,3904.82395527998,0.848070025444031,59.8791389465332,47.14862,76.01588,1.72470879088585,26.1,95.0,118.577,51.1,0.21,46.5,-0.907938599586487,-0.897673428058624,-1.11396610736847,-0.9731927116711936,"Q1
(최저소득)",8.269967979383043,80.33759237552377,2.3372352001598244,Middle
GTM,Guatemala,2019,78.51618957519531,56.72669983,12384.948508094,0.984549999237061,85.8256653187583,20.26228,86.88631,3.10877990722656,46.0,21.2,68.269,100.0,1.281,29.5,-0.897167265415192,-1.12161290645599,-1.07527709007263,-1.0313524206479374,"Q2
(저소득)",9.424237184312394,51.827233214501575,26.688956360693737,Negative
HKG,"Hong Kong SAR, China",2021,5.390165328979492,95.97781908,64434.5576690871,1.042799949646,105.857142857143,13.34788,95.45476,3.80328011512756,4.0200000000000005,3.859999999999999,1.12,100.0,4.2874,0.2199999999999999,1.189388918876649,1.3397906184196464,1.3223484814167017,1.2838426729043324,"Q4
(고소득)",11.073405377937341,11.092907706736469,-5.702742377756977,Middle
HND,Honduras,2019,79.2916030883789,58.0685997,6467.8800352783,0.9523616671562196,73.4535986087997,25.59773,80.09489,4.54962037172702,18.7,15.5,82.079,95.6,0.489,34.0,-0.795222759246826,-1.11195814609528,-1.09500813484192,-1.000729680061342,"Q1
(최저소득)",8.774603673103579,67.87313017554274,11.418472912836165,Middle
HRV,Croatia,2021,3.890544176101685,83.24117599,41320.2032633085,1.00203001499176,100.516410827637,13.50611,88.0407,4.0916600227356,3.4200000000000004,5.1,6.57,100.0,3.909,5.62,0.712653696537018,0.181928679347038,0.36060556769371,0.4183959811925886,"Q3
(중소득)",10.62910684246902,22.067046812954175,-18.17650263685249,Positive
HUN,Hungary,2021,9.155691146850586,91.4500713,40333.2546888118,0.979170024394989,96.809211730957,10.76744,90.83399,3.8011999130249,6.4,3.8,17.537,100.0,3.456,6.459999999999999,0.372758895158768,-0.0004981306265108,0.427084535360336,0.266448433297531,"Q3
(중소득)",10.604931586044698,22.664173757451863,-13.508482610601277,Positive
IDN,Indonesia,2015,52.82275390625,69.20836554,13889.9749067297,0.967230021953583,99.9521715181012,17.03493,93.4963,1.27517088245674,22.0,18.4,26.419,99.4,0.524,16.3,0.58032637834549,-0.48687219619751,-0.153604462742805,-0.0200500935316083,"Q2
(저소득)",9.538922629175822,48.994511688505355,3.828242217744645,Middle
IND,India,2017,56.070560455322266,60.25230026,9301.75603225735,1.01563942432404,93.4889604461665,32.74955,91.96063999999998,4.09865814174589,35.5,28.0,14.06,99.5,0.723,22.3,0.47511014342308,-0.366014748811722,0.188364565372467,0.0991533199946083,"Q1
(최저소득)",9.1379584819898,58.89829479052975,-2.827734335207481,Middle
IRL,Ireland,2021,2.330512762069702,96.8660965,117862.128878959,0.996510028839111,93.7389526367188,12.630612,95.78041,2.90461993217468,4.8,3.8,4.069,100.0,3.875,0.1999999999999999,1.59114551544189,1.5752888917923,1.63358354568481,1.6000059843063337,"Q4
(고소득)",11.6772708210063,-3.822521547810368,6.15303430988007,Middle
IRN,"Iran, Islamic Rep.",2021,41.53630065917969,83.71050262,17044.8173461033,1.06061995029449,97.4371566772461,28.52479,99.70291,2.82443290958712,4.8,11.7,26.204,100.0,1.811,17.639999999999997,-1.02239692211151,-1.23189043998718,-1.06095492839813,-1.10508076349894,"Q2
(저소득)",9.743601468533555,43.93896035106212,-2.402659691882434,Middle
ISR,Israel,2021,14.399215698242188,87.03842615,47527.151024672,1.01163995265961,96.9190902709961,12.07069,97.01884,5.93291997909546,2.08,3.4,6.204,100.0,3.797,4.24,1.1453697681427,0.829359412193298,0.783846437931061,0.9195252060890198,"Q3
(중소득)",10.769056427240791,18.610303005496064,-4.211087307253877,Middle
ITA,Italy,2021,5.496755599975586,87.0278292,52870.3261442897,0.999210000038147,97.3619613647461,11.48066,95.65574,4.06775999069214,1.98,2.8,2.852,100.0,4.191,1.32,0.611036896705627,0.550129175186157,0.390358686447144,0.5171749194463093,"Q4
(고소득)",10.875597518007323,15.978746389250034,-10.481990789274448,Middle
JOR,Jordan,2021,62.24605178833008,92.53443944,9381.35436036929,0.987789988517761,97.1706496556539,18.53699,80.8644,3.51486315596325,8.2,13.3,18.425,100.0,2.851,9.7,0.386213511228561,0.0886586904525757,0.257768124341965,0.2442134420077005,"Q1
(최저소득)",9.146479419676384,58.687828295542516,3.558223492787562,Middle
JPN,Japan,2019,3.595027446746826,85.00990295,45858.6595131439,1.00253999233246,96.16651889211188,15.66096,92.88987,3.33663988113403,2.08,2.4,1.737,100.0,2.649,4.24,1.63126504421234,1.3956606388092,1.53553938865662,1.5208216905593863,"Q3
(중소득)",10.733319326005274,19.49300661332626,-15.897979166579432,Positive
KAZ,Kazakhstan,2021,10.414955139160156,92.87846096,34703.2349286604,0.997829973697662,103.073237596239,17.21457,86.85584,4.86469984054565,8.0,9.6,18.235,100.0,3.754,7.0,0.146814674139023,-0.26659306883812,-0.446781367063522,-0.188853253920873,"Q3
(중소득)",10.454588187199523,26.37764396029513,-15.962688821134975,Positive
KEN,Kenya,2023,79.28633880615234,32.07040024,5691.82513474417,0.970903754234314,102.200240064297,30.65055,85.760786,3.96229304413263,17.6,39.6,56.313,76.2,0.289,12.5,-0.303605198860168,-0.770913004875183,-0.326221644878387,-0.466913282871246,"Q1
(최저소득)",8.646786237505259,71.03021084648725,8.256127959665093,Middle
